
# Surface 0 of 1 surfaces

# Curve title: ""potential-pos_inverted_contourtmp0.dat""

# Contour 0, label:        4
-0.304396 -0.339337  2.2 
-0.230924 -0.391351  2.2 
-0.217441 -0.400194  2.2 
-0.130486 -0.439208  2.2 
-0.0435311 -0.455907  2.2 
 0.0434239 -0.455916  2.2 
 0.130379 -0.439237  2.2 
 0.217334 -0.40027  2.2 
 0.230937 -0.391351  2.2 
 0.304289 -0.339456  2.2 
 0.339372 -0.304396  2.2 
 0.391244 -0.231091  2.2 
 0.400195 -0.217441  2.2 
 0.439206 -0.130486  2.2 
 0.455881 -0.0435311  2.2 
 0.455909  0.0434239  2.2 
 0.439237  0.130379  2.2 
 0.400268  0.217334  2.2 
 0.391244  0.231091  2.2 
 0.339434  0.304289  2.2 
 0.304289  0.339434  2.2 
 0.231091  0.391244  2.2 
 0.217334  0.400268  2.2 
 0.130379  0.439237  2.2 
 0.0434239  0.455909  2.2 
-0.0435311  0.455881  2.2 
-0.130486  0.439206  2.2 
-0.217441  0.400195  2.2 


# Contour 19, label:      2.1
-0.217441  0.426521  2.1 
-0.271236  0.391244  2.1 
-0.304396  0.367779  2.1 
-0.367845  0.304289  2.1 
-0.391351  0.271064  2.1 
-0.42658  0.217334  2.1 
-0.460586  0.130379  2.1 
-0.474923  0.0434239  2.1 
-0.474921 -0.0435311  2.1 
-0.460573 -0.130486  2.1 
-0.426512 -0.217441  2.1 
-0.391351 -0.271051  2.1 
-0.367745 -0.304396  2.1 
-0.304396 -0.367745  2.1 
-0.271051 -0.391351  2.1 
-0.217441 -0.426512  2.1 
-0.130486 -0.460573  2.1 
-0.0435311 -0.474921  2.1 
 0.0434239 -0.474923  2.1 
 0.130379 -0.460586  2.1 
 0.217334 -0.42658  2.1 
 0.271064 -0.391351  2.1 
 0.304289 -0.367845  2.1 
 0.367779 -0.304396  2.1 
 0.391244 -0.271236  2.1 
 0.426521 -0.217441  2.1 
 0.46056 -0.130486  2.1 
 0.474875 -0.0435311  2.1 
 0.474911  0.0434239  2.1 
 0.460586  0.130379  2.1 
 0.426578  0.217334  2.1 
 0.391244  0.271199  2.1 
 0.367823  0.304289  2.1 
 0.304289  0.367823  2.1 
 0.271199  0.391244  2.1 
 0.217334  0.426578  2.1 
 0.130379  0.460586  2.1 
 0.0434239  0.474911  2.1 
-0.0435311  0.474875  2.1 
-0.130486  0.46056  2.1 
-0.217441  0.426521  2.1 


# Contour 20, label:        2
-0.130486  0.483357  2 
-0.143793  0.478199  2 
-0.217441  0.452847  2 
-0.304396  0.397215  2 
-0.311591  0.391244  2 
-0.391351  0.311407  2 
-0.397258  0.304289  2 
-0.45289  0.217334  2 
-0.478306  0.143392  2 
-0.483348  0.130379  2 
-0.500762  0.0434239  2 
-0.500762 -0.0435311  2 
-0.483348 -0.130486  2 
-0.478306 -0.143476  2 
-0.45283 -0.217441  2 
-0.397157 -0.304396  2 
-0.391351 -0.311391  2 
-0.311391 -0.391351  2 
-0.304396 -0.397157  2 
-0.217441 -0.45283  2 
-0.143476 -0.478306  2 
-0.130486 -0.483348  2 
-0.0435311 -0.500762  2 
